strategy_id,candidate_id,feature_snapshot_id,trading_date,signal_ts_ns,signal_ts_utc,direction,regime_label,entry_price,stop_price,target_prices,exit_ts_ns,exit_ts_utc,exit_price_weighted,exit_reason,holding_minutes,gross_points,gross_usd,round_turn_cost_usd,net_usd,mfe_points,mae_points,dynamic_target_rr
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2025-07-24-1753377120000000000-opening_range_box_breakout_long,bt-mnq-12mo-2025-07-24-1753377120000000000,2025-07-24,1753377120000000000,2025-07-24T17:12:00.000000000Z,long,low,23401.25,23333,pt1:23469.5|pt2:23537.75,1753387140000000000,2025-07-24T19:59:00.000000000Z,23376.5,rth_close,167,-24.75,-49.5,2,-51.5,23.75,29,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2025-07-24-1753384020000000000-opening_range_box_regime_long,bt-mnq-12mo-2025-07-24-1753384020000000000,2025-07-24,1753384020000000000,2025-07-24T19:07:00.000000000Z,long,low,23401.25,23333,pt1:23469.5|pt2:23537.75,1753387140000000000,2025-07-24T19:59:00.000000000Z,23376.5,rth_close,52,-24.75,-49.5,2,-51.5,21.75,29,
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2025-07-25-1753452660000000000-opening_range_box_breakout_long,bt-mnq-12mo-2025-07-25-1753452660000000000,2025-07-25,1753452660000000000,2025-07-25T14:11:00.000000000Z,long,low,23408.5,23329.75,pt1:23487.25|pt2:23566,1753473540000000000,2025-07-25T19:59:00.000000000Z,23422.75,rth_close,348,14.25,28.5,2,26.5,68.5,20.75,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2025-07-25-1753452660000000000-opening_range_box_regime_long,bt-mnq-12mo-2025-07-25-1753452660000000000,2025-07-25,1753452660000000000,2025-07-25T14:11:00.000000000Z,long,low,23408.5,23329.75,pt1:23487.25|pt2:23566,1753473540000000000,2025-07-25T19:59:00.000000000Z,23422.75,rth_close,348,14.25,28.5,2,26.5,68.5,20.75,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2025-07-28-1753717680000000000-opening_range_box_regime_long,bt-mnq-12mo-2025-07-28-1753717680000000000,2025-07-28,1753717680000000000,2025-07-28T15:48:00.000000000Z,long,low,23493.5,23436.5,pt1:23550.5|pt2:23607.5,1753732740000000000,2025-07-28T19:59:00.000000000Z,23491.75,rth_close,251,-1.75,-3.5,2,-5.5,14.25,53.5,
opening_range_box_breakout_short,candidate-bt-mnq-12mo-2025-07-30-1753905000000000000-opening_range_box_breakout_short,bt-mnq-12mo-2025-07-30-1753905000000000000,2025-07-30,1753905000000000000,2025-07-30T19:50:00.000000000Z,short,high,23449.75,23527,pt1:23372.5|pt2:23295.25,1753905540000000000,2025-07-30T19:59:00.000000000Z,23484.25,rth_close,9,-34.5,-69,2,-71,17.75,40.75,
opening_range_box_breakout_short,candidate-bt-mnq-12mo-2025-07-31-1753979220000000000-opening_range_box_breakout_short,bt-mnq-12mo-2025-07-31-1753979220000000000,2025-07-31,1753979220000000000,2025-07-31T16:27:00.000000000Z,short,high,23607.75,23752.75,pt1:23462.75|pt2:23317.75,1753985760000000000,2025-07-31T18:16:00.000000000Z,23390.25,pt2,109,217.5,435,2,433,302,9.25,
opening_range_box_breakout_short,candidate-bt-mnq-12mo-2025-08-01-1754067900000000000-opening_range_box_breakout_short,bt-mnq-12mo-2025-08-01-1754067900000000000,2025-08-01,1754067900000000000,2025-08-01T17:05:00.000000000Z,short,high,22857.5,23096,pt1:22619|pt2:22380.5,1754078340000000000,2025-08-01T19:59:00.000000000Z,22880.75,rth_close,174,-23.25,-46.5,2,-48.5,69.25,87.5,
opening_range_box_breakout_short,candidate-bt-mnq-12mo-2025-08-07-1754577120000000000-opening_range_box_breakout_short,bt-mnq-12mo-2025-08-07-1754577120000000000,2025-08-07,1754577120000000000,2025-08-07T14:32:00.000000000Z,short,high,23569,23659.5,pt1:23478.5|pt2:23388,1754588220000000000,2025-08-07T17:37:00.000000000Z,23433.25,pt2,185,135.75,271.5,2,269.5,187.75,24.75,
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2025-08-11-1754921640000000000-opening_range_box_breakout_long,bt-mnq-12mo-2025-08-11-1754921640000000000,2025-08-11,1754921640000000000,2025-08-11T14:14:00.000000000Z,long,low,23745.5,23680.5,pt1:23810.5|pt2:23875.5,1754935440000000000,2025-08-11T18:04:00.000000000Z,23680.5,stop,230,-65,-130,2,-132,59,68.5,
