strategy_id,candidate_id,feature_snapshot_id,trading_date,signal_ts_ns,signal_ts_utc,direction,regime_label,entry_price,stop_price,target_prices,exit_ts_ns,exit_ts_utc,exit_price_weighted,exit_reason,holding_minutes,gross_points,gross_usd,round_turn_cost_usd,net_usd,mfe_points,mae_points,dynamic_target_rr
opening_range_box_regime_long,candidate-bt-mnq-12mo-2020-09-15-1600180260000000000-opening_range_box_regime_long,bt-mnq-12mo-2020-09-15-1600180260000000000,2020-09-15,1600180260000000000,2020-09-15T14:31:00.000000000Z,long,low,11442.75,11409,pt1:11476.5|pt2:11510.25,1600180800000000000,2020-09-15T14:40:00.000000000Z,11409,stop,9,-33.75,-67.5,2,-69.5,7.75,44.75,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2020-09-16-1600269300000000000-opening_range_box_regime_long,bt-mnq-12mo-2020-09-16-1600269300000000000,2020-09-16,1600269300000000000,2020-09-16T15:15:00.000000000Z,long,low,11415.5,11334.5,pt1:11496.5|pt2:11577.5,1600276260000000000,2020-09-16T17:11:00.000000000Z,11334.5,stop,116,-81,-162,2,-164,18.25,81.75,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2020-09-16-1600280100000000000-opening_range_box_regime_long,bt-mnq-12mo-2020-09-16-1600280100000000000,2020-09-16,1600280100000000000,2020-09-16T18:15:00.000000000Z,long,low,11410.25,11307.25,pt1:11513.25|pt2:11616.25,1600283400000000000,2020-09-16T19:10:00.000000000Z,11307.25,stop,55,-103,-206,2,-208,20,119.75,
opening_range_box_breakout_short,candidate-bt-mnq-12mo-2020-09-17-1600359420000000000-opening_range_box_breakout_short,bt-mnq-12mo-2020-09-17-1600359420000000000,2020-09-17,1600359420000000000,2020-09-17T16:17:00.000000000Z,short,high,10944.5,11068.75,pt1:10820.25|pt2:10696,1600372560000000000,2020-09-17T19:56:00.000000000Z,11068.75,stop,219,-124.25,-248.5,2,-250.5,31.25,124.5,
opening_range_box_breakout_short,candidate-bt-mnq-12mo-2020-09-18-1600439880000000000-opening_range_box_breakout_short,bt-mnq-12mo-2020-09-18-1600439880000000000,2020-09-18,1600439880000000000,2020-09-18T14:38:00.000000000Z,short,high,11017.25,11135.25,pt1:10899.25|pt2:10781.25,1600450080000000000,2020-09-18T17:28:00.000000000Z,10840.25,pt2,170,177,354,2,352,236.5,13.5,
opening_range_box_breakout_short,candidate-bt-mnq-12mo-2020-09-21-1600698600000000000-opening_range_box_breakout_short,bt-mnq-12mo-2020-09-21-1600698600000000000,2020-09-21,1600698600000000000,2020-09-21T14:30:00.000000000Z,short,high,10702,10841,pt1:10563|pt2:10424,1600704480000000000,2020-09-21T16:08:00.000000000Z,10841,stop,98,-139,-278,2,-280,45.25,139.5,
opening_range_box_breakout_short,candidate-bt-mnq-12mo-2020-09-23-1600870260000000000-opening_range_box_breakout_short,bt-mnq-12mo-2020-09-23-1600870260000000000,2020-09-23,1600870260000000000,2020-09-23T14:11:00.000000000Z,short,high,11072.5,11161.5,pt1:10983.5|pt2:10894.5,1600885020000000000,2020-09-23T18:17:00.000000000Z,10939,pt2,246,133.5,267,2,265,182.5,29.75,
opening_range_box_breakout_short,candidate-bt-mnq-12mo-2020-09-28-1601304960000000000-opening_range_box_breakout_short,bt-mnq-12mo-2020-09-28-1601304960000000000,2020-09-28,1601304960000000000,2020-09-28T14:56:00.000000000Z,short,high,11250.25,11343.75,pt1:11156.75|pt2:11063.25,1601320620000000000,2020-09-28T19:17:00.000000000Z,11343.75,stop,261,-93.5,-187,2,-189,24.25,98,
opening_range_box_regime_long,candidate-bt-mnq-12mo-2020-09-29-1601391960000000000-opening_range_box_regime_long,bt-mnq-12mo-2020-09-29-1601391960000000000,2020-09-29,1601391960000000000,2020-09-29T15:06:00.000000000Z,long,low,11335,11289.25,pt1:11380.75|pt2:11426.5,1601409540000000000,2020-09-29T19:59:00.000000000Z,11310,rth_close,293,-25,-50,2,-52,30.75,42.75,
opening_range_box_breakout_long,candidate-bt-mnq-12mo-2020-09-30-1601474400000000000-opening_range_box_breakout_long,bt-mnq-12mo-2020-09-30-1601474400000000000,2020-09-30,1601474400000000000,2020-09-30T14:00:00.000000000Z,long,low,11420.75,11309.75,pt1:11531.75|pt2:11642.75,1601495940000000000,2020-09-30T19:59:00.000000000Z,11403,rth_close,359,-17.75,-35.5,2,-37.5,104.5,85,
